averageMonthlyHours,satisfaction,evaluation,yearsAtCompany,turnover
262,45,55,3,1
280,84,100,5,1
274,11,93,4,1
260,42,56,3,1
266,45,46,3,1
284,46,57,3,1
269,9,79,5,1
285,87,83,6,1
264,10,87,4,1
261,91,100,6,1
271,76,92,5,1
272,74,100,5,1
269,92,93,5,1
267,76,87,5,1
279,47,50,4,1
279,73,99,5,1
274,9,94,4,1
279,91,92,5,1
290,82,98,5,1
271,28,45,4,1
271,84,99,6,1
242,45,53,3,1
280,45,54,3,1
275,91,97,5,1
276,42,48,3,1
278,82,100,6,1
260,11,90,4,1
283,42,53,4,1
263,82,85,5,1
288,9,96,4,1
276,10,94,4,1
277,86,100,5,1
269,40,46,3,1
270,45,46,3,1
272,42,51,3,1
269,74,92,5,1
275,55,60,4,1
289,37,45,3,1
278,41,52,3,1
273,89,65,6,1
291,41,57,3,1
270,44,51,3,1
271,87,84,6,1
257,10,84,4,1
251,41,47,3,1
279,11,85,4,1
282,43,53,3,1
261,77,90,5,1
287,41,52,3,1
261,41,48,3,1
277,36,78,4,1
265,77,100,5,1
279,81,98,5,1
266,39,54,3,1
268,9,94,5,1
265,44,46,3,1
283,10,84,4,1
273,36,48,3,1
278,81,92,5,1
278,81,90,5,1
272,85,98,5,1
289,10,87,4,1
276,37,54,3,1
281,9,97,4,1
291,44,53,3,1
279,86,93,5,1
270,77,100,5,1
262,41,48,3,1
286,40,48,3,1
274,43,49,3,1
278,43,50,3,1
294,80,53,5,1
273,80,85,5,1
276,82,98,5,1
271,37,54,3,1
284,37,48,3,1
276,9,95,4,1
279,90,92,5,1
280,41,52,3,1
267,10,85,4,1
284,44,53,3,1
275,89,85,5,1
277,42,56,3,1
276,87,100,5,1
279,45,57,3,1
285,11,87,4,1
277,9,79,4,1
282,76,83,5,1
268,11,96,5,1
296,37,49,3,1
269,10,79,4,1
264,77,87,6,1
300,42,54,3,1
262,38,52,3,1
274,32,95,2,1
288,38,49,3,1
273,19,100,4,1
277,10,83,4,1
268,76,88,4,1
265,53,56,6,1
272,39,51,3,1
264,11,83,4,1
293,10,94,4,1
276,84,100,5,1
264,82,99,6,1
282,10,82,4,1
283,59,49,4,1
266,44,48,3,1
272,89,95,5,1
288,91,84,5,1
262,66,57,5,1
279,11,87,5,1
275,43,51,3,1
285,78,83,6,1
284,11,97,5,1
267,83,98,5,1
279,39,54,3,1
280,38,55,3,1
269,37,57,3,1
274,44,48,3,1
279,53,85,5,1
290,9,96,4,1
285,11,89,4,1
254,83,96,5,1
277,88,100,6,1
283,10,89,4,1
263,9,86,4,1
292,44,54,3,1
282,39,51,3,1
247,87,94,5,1
279,74,99,5,1
265,10,95,4,1
256,74,82,6,1
267,75,99,5,1
248,41,56,3,1
277,41,45,3,1
272,9,90,4,1
271,9,80,5,1
296,39,57,3,1
269,40,56,3,1
273,37,54,3,1
271,10,84,4,1
270,43,51,3,1
254,75,85,6,1
266,37,56,3,1
266,11,85,4,1
278,45,45,3,1
276,87,100,5,1
272,11,94,4,1
285,45,54,3,1
266,81,87,5,1
282,77,91,5,1
260,89,92,5,1
281,43,49,3,1
267,78,100,5,1
288,37,47,3,1
272,37,50,3,1
242,85,82,5,1
275,41,47,3,1
274,11,96,4,1
280,75,99,5,1
274,82,85,5,1
267,79,100,6,1
267,43,53,3,1
273,10,90,4,1
283,46,48,3,1
295,43,57,3,1
276,43,55,3,1
271,11,80,4,1
278,9,86,4,1
271,37,53,3,1
276,40,57,3,1
268,10,77,4,1
281,41,53,3,1
262,79,58,4,1
272,11,79,4,1
269,10,97,4,1
281,44,51,3,1
271,25,46,4,1
273,44,52,3,1
270,73,100,5,1
269,75,97,6,1
296,36,47,3,1
288,37,49,3,1
283,39,49,3,1
258,48,78,2,1
275,57,72,6,1
295,90,96,5,1
292,39,55,3,1
269,44,51,3,1
277,81,88,5,1
287,74,87,5,1
289,44,56,3,1
276,41,56,3,1
281,40,51,3,1
275,46,57,3,1
274,80,83,3,1
292,87,90,5,1
282,39,54,3,1
287,38,55,3,1
278,66,67,3,1
290,10,80,4,1
280,37,54,3,1
264,10,77,4,1
267,9,87,4,1
277,86,84,5,1
251,11,90,4,1
270,37,46,3,1
270,11,92,4,1
271,77,98,6,1
274,84,94,6,1
268,10,84,4,1
266,83,90,5,1
289,11,79,4,1
264,86,92,5,1
277,38,56,3,1
270,11,88,4,1
281,45,49,3,1
265,10,85,4,1
273,9,95,4,1
275,39,53,3,1
283,37,47,3,1
259,81,97,5,1
291,9,90,4,1
275,10,88,4,1
263,39,49,3,1
283,83,95,5,1
263,45,57,3,1
276,43,51,3,1
282,80,75,2,1
265,10,86,4,1
271,10,55,4,1
276,36,52,3,1
275,38,50,3,1
274,78,98,6,1
276,44,49,3,1
284,41,46,3,1
286,72,85,6,1
292,46,54,3,1
262,10,90,4,1
260,34,67,2,1
260,11,89,5,1
269,38,56,3,1
274,82,92,5,1
285,39,57,3,1
270,44,53,3,1
272,43,52,3,1
286,84,83,5,1
276,43,48,3,1
274,37,52,3,1
270,74,97,5,1
273,73,97,5,1
273,37,47,3,1
279,58,62,3,1
274,40,54,3,1
260,51,83,4,1
276,46,50,3,1
268,45,54,3,1
281,46,50,3,1
262,39,45,3,1
263,9,88,4,1
271,9,77,4,1
290,37,51,3,1
281,10,89,4,1
284,77,100,5,1
264,79,86,5,1
295,43,55,3,1
274,38,53,3,1
272,77,91,6,1
294,44,50,3,1
265,39,46,3,1
263,78,89,6,1
267,10,79,5,1
262,10,77,4,1
269,75,85,5,1
286,46,62,3,1
281,91,97,6,1
297,10,92,4,1
255,72,60,5,1
283,11,95,4,1
302,11,94,4,1
266,46,57,3,1
271,37,46,3,1
270,46,50,3,1
272,43,57,3,1
247,11,82,4,1
258,73,89,6,1
291,43,47,3,1
273,86,100,5,1
277,10,83,4,1
264,40,49,3,1
262,11,87,4,1
278,86,98,5,1
270,42,100,3,1
278,79,84,5,1
272,10,96,4,1
282,9,92,4,1
274,9,82,4,1
289,87,100,5,1
271,36,49,3,1
283,42,75,4,1
263,84,86,5,1
298,10,83,4,1
279,78,71,5,1
268,35,99,4,1
281,10,81,4,1
291,11,80,4,1
287,43,48,3,1
265,38,45,3,1
284,46,54,3,1
272,89,82,5,1
258,45,50,3,1
284,44,53,3,1
294,74,54,3,1
272,45,54,3,1
290,79,93,5,1
271,79,91,5,1
273,11,87,4,1
281,42,48,3,1
273,64,90,2,1
265,40,55,3,1
270,84,98,5,1
280,73,92,5,1
286,40,51,3,1
267,36,45,3,1
280,43,47,3,1
277,11,78,4,1
262,91,100,6,1
277,80,100,5,1
263,42,49,3,1
276,31,87,3,1
283,44,47,3,1
260,38,54,3,1
277,45,56,3,1
266,43,46,3,1
280,45,46,3,1
300,43,57,3,1
267,43,49,3,1
275,9,83,4,1
264,43,47,3,1
283,79,94,5,1
258,85,58,2,1
295,38,45,3,1
271,11,92,4,1
260,83,99,5,1
277,81,91,5,1
282,42,56,3,1
277,11,87,4,1
290,11,85,4,1
284,10,89,4,1
263,50,54,4,1
264,44,49,3,1
280,11,90,4,1
263,39,52,3,1
263,11,78,4,1
273,36,50,3,1
269,43,51,3,1
276,40,50,3,1
278,86,84,6,1
253,38,49,3,1
273,46,45,3,1
267,37,57,3,1
288,43,52,3,1
280,66,93,5,1
283,37,48,3,1
283,77,92,5,1
287,38,55,3,1
287,39,54,3,1
293,41,55,3,1
265,10,90,4,1
254,9,93,4,1
283,41,47,3,1
274,39,46,3,1
263,83,99,5,1
272,9,87,2,1
304,75,81,5,1
290,44,54,3,1
278,10,84,5,1
264,42,46,3,1
268,10,83,4,1
274,10,86,4,1
264,31,77,3,1
277,42,54,3,1
270,38,50,3,1
278,39,57,3,1
277,10,97,5,1
264,11,93,4,1
276,10,92,4,1
255,11,90,4,1
271,44,65,4,1
280,91,96,5,1
279,72,100,5,1
291,36,46,3,1
276,44,57,3,1
281,85,99,5,1
277,78,93,5,1
251,39,46,3,1
273,78,81,2,1
281,10,92,4,1
292,23,99,4,1
274,11,87,4,1
261,90,83,5,1
278,91,89,5,1
269,11,79,4,1
282,43,54,3,1
277,45,49,3,1
276,11,91,4,1
265,11,93,4,1
276,43,50,3,1
275,91,97,6,1
267,43,55,3,1
293,85,82,6,1
290,10,77,4,1
291,81,95,5,1
280,36,62,2,1
271,45,54,3,1
287,86,100,5,1
267,71,100,5,1
296,11,97,4,1
282,84,93,5,1
297,9,97,4,1
274,38,49,3,1
291,15,55,4,1
275,10,92,4,1
290,80,97,5,1
273,84,97,5,1
270,11,87,4,1
269,89,79,2,1
268,45,51,3,1
296,11,93,4,1
272,74,93,5,1
285,41,50,3,1
283,44,53,3,1
289,37,56,3,1
285,11,86,4,1
295,10,93,4,1
290,70,74,3,1
266,59,100,5,1
267,38,53,3,1
261,72,95,5,1
260,73,100,5,1
286,39,48,3,1
280,89,82,6,1
264,89,100,5,1
271,11,78,4,1
277,43,56,3,1
277,9,93,4,1
268,81,90,6,1
276,37,53,3,1
295,36,56,3,1
276,11,85,4,1
289,10,85,4,1
294,66,47,2,1
296,39,47,3,1
278,44,51,3,1
281,10,84,4,1
264,79,94,6,1
284,10,81,4,1
276,54,94,3,1
272,37,47,3,1
281,37,57,3,1
277,82,89,5,1
278,45,52,3,1
269,79,90,5,1
274,42,56,3,1
277,10,85,4,1
289,11,78,4,1
296,74,100,5,1
281,10,93,4,1
272,79,100,5,1
268,43,48,3,1
289,41,47,3,1
278,39,55,3,1
277,10,94,4,1
290,82,85,5,1
273,41,46,3,1
259,42,56,3,1
283,74,88,6,1
271,38,57,3,1
265,39,56,3,1
275,87,94,5,1
279,10,90,4,1
272,78,100,5,1
266,14,73,5,1
257,11,94,5,1
265,91,94,5,1
260,49,63,3,1
259,38,47,3,1
282,82,97,5,1
274,38,88,4,1
291,89,100,5,1
283,11,79,4,1
280,37,51,3,1
282,38,50,3,1
276,78,87,5,1
257,41,51,3,1
283,41,51,3,1
280,11,83,4,1
273,11,79,4,1
255,43,57,3,1
271,75,86,5,1
276,74,99,5,1
276,85,85,5,1
262,73,92,5,1
268,10,79,4,1
276,44,56,3,1
275,30,56,4,1
283,11,77,4,1
279,84,83,5,1
262,78,94,6,1
271,43,53,3,1
267,36,55,3,1
282,43,47,3,1
282,45,46,3,1
277,76,93,5,1
272,10,78,4,1
292,9,86,4,1
271,92,100,5,1
269,92,90,5,1
281,79,98,5,1
271,43,51,3,1
268,80,95,5,1
264,44,49,3,1
277,89,87,6,1
265,48,88,3,1
263,11,82,4,1
272,38,55,3,1
273,11,85,4,1
291,82,86,5,1
259,37,45,3,1
276,40,48,3,1
276,43,47,3,1
260,44,50,3,1
285,42,56,3,1
291,11,80,4,1
275,78,87,5,1
282,46,86,4,1
271,77,91,6,1
277,83,82,5,1
287,32,58,5,1
286,90,92,4,1
272,42,52,3,1
275,10,96,4,1
288,10,91,4,1
278,44,49,3,1
287,10,95,4,1
265,11,80,4,1
273,10,89,4,1
265,39,47,3,1
289,92,92,5,1
279,43,56,3,1
270,11,89,4,1
263,81,100,5,1
272,11,85,4,1
274,87,100,5,1
283,37,46,3,1
266,39,56,3,1
286,61,86,4,1
285,11,95,4,1
271,9,90,5,1
269,36,52,3,1
274,9,94,4,1
265,41,71,5,1
276,40,46,3,1
271,10,91,5,1
259,46,53,3,1
276,39,57,3,1
272,41,50,3,1
257,10,94,4,1
275,39,51,3,1
262,73,83,5,1
272,41,45,3,1
254,37,51,3,1
267,38,50,3,1
287,80,63,5,1
261,9,85,4,1
273,85,92,5,1
275,42,54,3,1
289,41,48,3,1
261,38,46,3,1
278,72,100,5,1
279,11,74,5,1
292,37,47,3,1
273,10,81,4,1
247,36,54,3,1
276,92,94,5,1
290,11,87,4,1
274,39,56,3,1
269,11,95,4,1
276,45,45,3,1
279,44,55,3,1
277,85,97,6,1
294,43,52,3,1
273,75,86,5,1
264,11,55,3,1
256,36,50,3,1
261,10,79,4,1
283,74,89,5,1
272,40,46,3,1
280,9,77,4,1
275,76,91,5,1
292,45,57,3,1
264,84,88,5,1
274,38,45,3,1
265,38,46,3,1
281,38,54,3,1
279,86,94,5,1
283,37,46,3,1
283,37,50,3,1
280,87,100,5,1
283,11,85,4,1
279,42,50,3,1
281,43,48,3,1
285,9,80,4,1
274,54,56,3,1
269,40,47,3,1
292,36,52,3,1
286,87,90,5,1
269,75,88,5,1
289,43,53,3,1
267,43,47,3,1
276,10,87,4,1
291,11,78,4,1
277,44,53,3,1
260,39,48,3,1
257,40,55,3,1
278,92,87,6,1
286,36,47,3,1
272,86,95,5,1
283,74,87,5,1
279,80,95,5,1
282,36,48,3,1
281,42,57,3,1
281,42,47,3,1
284,40,45,3,1
283,46,53,3,1
279,9,90,4,1
286,88,89,5,1
286,10,82,4,1
286,10,97,4,1
292,11,93,3,1
257,84,88,5,1
271,42,56,3,1
276,10,86,4,1
263,10,95,4,1
269,46,54,3,1
266,9,97,4,1
268,89,100,5,1
290,82,100,6,1
253,11,89,4,1
266,81,84,5,1
266,81,94,6,1
261,77,100,6,1
281,63,94,2,1
270,40,57,3,1
282,86,100,6,1
271,37,49,3,1
264,44,50,3,1
279,74,89,6,1
274,79,100,5,1
261,9,92,4,1
272,37,48,3,1
271,9,78,4,1
264,9,84,4,1
277,10,80,5,1
276,45,56,3,1
266,40,51,3,1
263,31,95,5,1
277,70,93,3,1
279,36,48,3,1
274,34,97,5,1
271,87,83,5,1
281,11,91,4,1
278,47,81,3,1
284,43,52,3,1
276,43,47,3,1
270,45,57,3,1
279,74,100,5,1
262,10,89,4,1
279,78,87,5,1
278,90,95,3,1
276,53,95,4,1
276,45,54,3,1
287,86,83,5,1
275,74,89,5,1
272,9,79,4,1
265,80,95,5,1
281,46,53,3,1
279,86,95,6,1
271,86,95,5,1
272,90,91,5,1
288,87,88,6,1
284,83,94,5,1
259,77,83,5,1
279,77,100,5,1
283,90,86,5,1
292,73,92,5,1
266,91,90,5,1
270,36,53,3,1
278,38,54,3,1
278,44,46,3,1
284,73,100,5,1
274,89,91,5,1
277,11,77,4,1
279,10,77,4,1
278,37,46,3,1
262,38,48,3,1
266,42,48,3,1
268,44,46,3,1
263,11,83,4,1
289,9,97,4,1
277,43,47,3,1
277,38,52,3,1
273,11,89,4,1
292,37,49,3,1
274,44,57,3,1
270,72,82,5,1
260,10,91,4,1
274,73,86,5,1
277,9,82,4,1
274,44,46,3,1
271,9,82,4,1
257,10,87,4,1
278,11,86,4,1
267,42,46,3,1
276,9,85,4,1
283,72,88,5,1
288,75,97,5,1
281,44,50,3,1
284,11,91,4,1
279,38,47,3,1
295,39,57,3,1
277,10,90,4,1
286,43,52,3,1
268,39,57,3,1
286,88,87,6,1
273,10,85,4,1
272,10,89,4,1
271,11,93,4,1
274,37,47,3,1
279,37,48,3,1
279,77,87,4,1
281,91,94,6,1
263,46,51,3,1
276,11,87,4,1
275,86,91,5,1
259,87,88,6,1
277,9,92,5,1
295,42,46,3,1
278,82,83,5,1
279,46,48,3,1
283,88,100,6,1
262,10,91,4,1
279,43,45,3,1
260,37,49,3,1
269,80,95,5,1
295,83,95,5,1
281,39,57,3,1
273,77,92,5,1
278,43,46,3,1
275,79,96,5,1
268,39,55,3,1
274,10,88,4,1
283,39,53,3,1
275,11,89,4,1
261,40,51,3,1
273,42,52,3,1
272,57,85,2,1
288,11,95,5,1
277,36,73,2,1
277,11,94,4,1
272,35,80,2,1
270,78,99,5,1
278,11,93,4,1
273,10,96,4,1
255,42,54,3,1
276,43,50,3,1
265,79,84,5,1
294,45,45,3,1
287,9,91,4,1
248,11,91,4,1
264,45,49,3,1
277,11,91,4,1
266,9,80,4,1
283,78,71,3,1
274,38,50,3,1
286,82,82,5,1
265,85,89,5,1
293,45,46,3,1
274,77,89,5,1
280,39,50,3,1
276,91,90,5,1
279,11,77,4,1
284,46,45,3,1
277,43,49,3,1
259,11,96,4,1
274,10,93,4,1
276,9,80,4,1
263,36,51,3,1
295,11,89,4,1
263,9,77,5,1
277,44,51,3,1
289,73,97,6,1
272,21,58,5,1
265,80,85,5,1
275,37,55,3,1
273,79,96,5,1
287,9,80,4,1
278,75,74,3,1
269,83,100,5,1
270,10,77,4,1
270,44,55,3,1
283,42,97,4,1
260,43,56,3,1
279,9,84,4,1
254,44,53,3,1
280,81,98,5,1
265,10,79,4,1
291,10,93,4,1
273,11,83,4,1
282,9,77,4,1
272,75,83,5,1
282,38,55,3,1
290,9,87,4,1
271,74,97,5,1
275,44,56,3,1
266,76,95,5,1
283,42,56,3,1
291,75,100,5,1
263,36,52,3,1
274,75,93,5,1
287,40,46,3,1
273,75,89,5,1
272,9,84,4,1
268,39,46,3,1
289,40,48,3,1
282,39,54,3,1
283,10,85,5,1
299,42,55,3,1
269,37,52,3,1
270,11,98,4,1
277,9,88,4,1
271,41,54,3,1
272,42,49,3,1
276,40,49,3,1
272,36,47,3,1
270,74,90,5,1
277,66,100,5,1
272,38,47,3,1
275,43,51,3,1
263,43,53,3,1
275,10,85,5,1
266,82,85,5,1
271,10,77,4,1
276,10,93,4,1
264,43,49,3,1
267,9,94,4,1
277,41,54,3,1
270,10,82,4,1
291,88,92,5,1
280,43,57,3,1
262,42,50,3,1
274,85,100,5,1
299,38,49,3,1
282,39,47,3,1
280,41,48,3,1
272,88,92,6,1
277,78,96,5,1
284,45,48,3,1
279,9,95,4,1
261,44,56,3,1
280,11,84,4,1
275,36,51,3,1
266,86,98,5,1
273,10,92,4,1
270,45,53,3,1
274,42,53,3,1
274,36,55,3,1
277,45,55,3,1
271,38,57,3,1
271,11,97,4,1
270,45,46,3,1
279,87,95,5,1
242,45,53,3,1
272,10,83,5,1
292,44,54,3,1
286,78,100,5,1
283,38,56,3,1
283,85,84,6,1
262,36,48,3,1
270,75,88,5,1
275,81,81,5,1
274,40,55,3,1
265,83,83,5,1
276,41,52,3,1
270,42,57,3,1
267,9,83,4,1
280,87,81,5,1
286,43,56,4,1
268,39,51,3,1
274,10,90,5,1
292,41,52,3,1
276,72,100,2,1
289,44,55,3,1
275,38,50,3,1
270,46,52,3,1
258,40,49,3,1
267,45,45,3,1
284,89,89,5,1
281,10,97,4,1
276,46,48,3,1
263,9,78,4,1
272,45,57,3,1
276,89,98,6,1
283,62,77,4,1
272,11,93,4,1
272,44,50,3,1
280,9,94,4,1
295,56,75,2,1
274,77,89,5,1
277,39,49,3,1
275,10,92,4,1
286,72,85,5,1
259,40,52,3,1
263,11,81,4,1
293,88,100,5,1
286,37,51,3,1
290,11,96,4,1
276,40,52,3,1
311,10,86,4,1
277,62,89,4,1
262,78,86,5,1
276,37,52,3,1
273,76,82,5,1
281,42,53,3,1
262,10,77,4,1
266,42,47,3,1
296,10,96,4,1
274,10,81,4,1
273,42,47,3,1
271,9,86,4,1
284,10,80,4,1
278,11,89,4,1
275,44,53,3,1
297,87,90,5,1
283,44,46,3,1
281,41,56,3,1
286,51,79,3,1
262,89,96,5,1
292,10,96,4,1
265,90,94,5,1
286,36,55,3,1
282,44,54,3,1
276,39,57,3,1
293,38,100,4,1
290,73,95,6,1
279,10,96,4,1
280,89,83,4,1
267,87,85,6,1
289,84,89,5,1
284,11,77,4,1
276,74,100,5,1
264,79,97,5,1
279,10,92,4,1
262,83,95,5,1
261,10,79,4,1
280,45,50,3,1
272,29,48,4,1
276,46,46,3,1
275,11,83,5,1
287,75,89,5,1
264,40,50,3,1
265,37,46,3,1
271,41,52,3,1
297,10,83,4,1
285,39,52,3,1
288,40,45,3,1
278,41,52,3,1
276,11,89,4,1
271,74,99,5,1
274,42,46,3,1
284,88,88,5,1
264,37,53,3,1
291,78,81,5,1
271,46,50,3,1
273,74,100,6,1
290,11,86,4,1
283,80,87,6,1
276,37,48,3,1
276,87,92,6,1
274,90,84,5,1
275,10,88,4,1
282,43,46,3,1
262,11,91,4,1
263,40,46,3,1
285,9,93,4,1
280,40,50,3,1
278,14,70,3,1
272,40,49,3,1
280,11,79,4,1
271,72,100,3,1
269,39,57,3,1
